Target,Reporter Countries,Source,Partner Countries,Element,Item Code,Item,Unit,Value,Value_scaled,Link Color,Commodity,,,,,,
24,France,10,Italy,Import Quantity,665,"Cocoa, powder & cake",tonnes,2476,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
35,Romania,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,2534,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
40,Czechia,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,2778,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
24,France,3,Belgium,Import Quantity,665,"Cocoa, powder & cake",tonnes,2821,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
24,France,7,Spain,Import Quantity,665,"Cocoa, powder & cake",tonnes,3160,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,4,Côte d'Ivoire,Import Quantity,665,"Cocoa, powder & cake",tonnes,3234,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
27,Sweden,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,3275,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
25,Greece,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,3295,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,14,Croatia,Processed,F0665,"Cocoa, powder & cake",tonnes,3519,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
29,Bulgaria,13,Ghana,Import Quantity,665,"Cocoa, powder & cake",tonnes,3555,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,13,Ghana,Import Quantity,665,"Cocoa, powder & cake",tonnes,3561,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
22,Processed,11,Slovakia,Processed,F0665,"Cocoa, powder & cake",tonnes,3620,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,13,Ghana,Import Quantity,665,"Cocoa, powder & cake",tonnes,3805,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,8,France,Import Quantity,665,"Cocoa, powder & cake",tonnes,3886,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,7,Spain,Import Quantity,665,"Cocoa, powder & cake",tonnes,4034,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,8,France,Import Quantity,665,"Cocoa, powder & cake",tonnes,4342,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
36,Hungary,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,4473,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
24,France,4,Côte d'Ivoire,Import Quantity,665,"Cocoa, powder & cake",tonnes,4486,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
31,Spain,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,4557,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,4572,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
31,Spain,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,4623,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,5039,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,8,France,Import Quantity,665,"Cocoa, powder & cake",tonnes,5344,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,8,France,Import Quantity,665,"Cocoa, powder & cake",tonnes,6111,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
26,Germany,4,Côte d'Ivoire,Import Quantity,665,"Cocoa, powder & cake",tonnes,7023,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
21,United Kingdom of Great Britain and Northern Ireland,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,7544,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,8269,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
33,Belgium,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,8545,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,3,Belgium,Import Quantity,665,"Cocoa, powder & cake",tonnes,8585,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
30,Netherlands,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,8927,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,10244,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
32,Poland,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,10662,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
24,France,1,Germany,Import Quantity,665,"Cocoa, powder & cake",tonnes,10996,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
38,Italy,0,Netherlands,Import Quantity,665,"Cocoa, powder & cake",tonnes,14506,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
31,Spain,13,Ghana,Import Quantity,665,"Cocoa, powder & cake",tonnes,14614,,"rgba(148, 201, 169, 0.2)",Secondary - derived commodity,,,,,,
